15-19-2019 18:19:40 root:INFO:start main process
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019823/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012035/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006650/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003831/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014306/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010065/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014564/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012889/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015791/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003431/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001089/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008265/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102209076/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012367/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012020/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010180/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013305/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003304/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000017154/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020036448496365/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013114/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012682/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004064/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970523373718/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012587728121940/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003437/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013543/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102207117/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013286/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009029/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015439/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018120/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/509821540057552/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019162/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015850/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003107/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013955/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013259/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010015/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015020/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012897/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009452/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009085/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013242/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019168/
15-19-2019 18:19:42 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005527/
15-19-2019 18:19:44 root:INFO:handling directory page 2
15-19-2019 18:19:44 root:INFO:60
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011254/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001171/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012716/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003191/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013251/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014437/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005487/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005117/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003351/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003585/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000016751/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014331/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006303/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012296/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011218/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013608/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007888/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010193/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012138/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003443/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011769/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002202/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014924/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006298/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010050/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013604/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002484/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010832/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013875/
15-19-2019 18:19:44 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014479/
15-19-2019 18:19:45 root:INFO:handling directory page 3
15-19-2019 18:19:45 root:INFO:60
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012176/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007529/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012172/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009022/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006043/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006257/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011954/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001465/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004177/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102207555/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003441/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013958/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002975/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012074/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003374/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004913/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002519/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013834/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002877/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005197/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009609/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002885/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012240/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004504/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003342/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000019450/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011780/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5014481998491993/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007682/
15-19-2019 18:19:45 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002330/
15-19-2019 18:19:47 root:INFO:handling directory page 4
15-19-2019 18:19:47 root:INFO:60
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005221/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013679/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003483/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015605/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006735/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013379/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005030/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014704/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005820/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000018399/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003065/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003486/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009240/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002231/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014014/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003789/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005290/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009610/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000006510/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010602/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007696/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010806/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005874/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000283/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010049/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001909/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013986/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000014826/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000004389/
15-19-2019 18:19:47 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000015163/
15-19-2019 18:19:48 root:INFO:handling directory page 5
15-19-2019 18:19:48 root:INFO:60
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000009589/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000821/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003252/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008354/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001970/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000012974/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000010248/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008733/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003094/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000001774/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020021956392670/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020036058425633/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000007734/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013975/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492702947/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000405/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249278/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249274/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249404/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453777/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453781/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703347/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703411/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703403/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000005328/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970523373586/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970523373590/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492702950/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492702949/
15-19-2019 18:19:48 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703336/
15-19-2019 18:19:49 root:INFO:handling directory page 6
15-19-2019 18:19:49 root:INFO:60
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970523374500/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020025409746004/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249286/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249401/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020028379707342/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970599658145/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5013127454044951/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020027201612568/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5014505812700671/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5016323452897318/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737991/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737948/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453790/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020026417958862/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020025851198469/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737997/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737994/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660738012/
15-19-2019 18:19:49 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970599658142/
15-19-2019 18:19:51 root:INFO:handling directory page 7
15-19-2019 18:19:51 root:INFO:58
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737966/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020027464898101/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5014510301392889/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5015683039539884/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703342/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970523373578/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970475925605/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5016389495337701/
15-19-2019 18:19:51 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737955/
15-19-2019 18:19:52 root:INFO:handling directory page 8
15-19-2019 18:19:52 root:INFO:60
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660738002/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492702969/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249272/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249402/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970569249410/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453769/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453771/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453752/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970599658133/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970599658105/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020024834905629/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020030567850687/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737980/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737947/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970660737965/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970675941477/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703409/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970538840815/
15-19-2019 18:19:52 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970443682114/
15-19-2019 18:19:53 root:INFO:handling directory page 9
15-19-2019 18:19:53 root:INFO:58
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020038838710813/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970721292451/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000013606/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000002819/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003273/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003629/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970706350324/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011102207606/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000008878/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011063202258/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970599658137/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011960/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453757/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000011336/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000000235/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022916210608/
15-19-2019 18:19:53 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917259401/
15-19-2019 18:19:55 root:INFO:handling directory page 10
15-19-2019 18:19:55 root:INFO:100
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917255303/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917259558/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917261458/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917257211/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022917262554/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012444642062807/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020022916214643/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970584453784/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020021025089980/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5011000003482/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5020023799487211/
15-19-2019 18:19:55 root:INFO:Find new community: https://sh.lianjia.com/xiaoqu/5012970492703341/
